School,G,W,L,WLPct,Srs,Sos,Tm,Opp,Pace,ORtg,FTr,X3PAr,TsPct,TrbPct,AstPct,StlPct,BlkPct,EFgPct,TovPct,OrbPct,FtFga,Season,TeamId,SRS_scaled,ORtg_scaled,SRS_ORtg,SRS_ORtg_scaled
south carolina *,34,24,10,0.706,16.43,9.09,2487,2217,70,102.6,0.393,0.337,0.517,50.8,51.4,11.1,11,0.476,15.7,33.4,0.274,2017,0,41.6234390009606,21.9033232628399,119.03,63.5267622638005
south dakota state *,35,18,17,0.514,-2.1,-0.46,2683,2697,69.2,109.6,0.404,0.456,0.581,50.7,52.1,7.3,7.2,0.537,16.4,27.2,0.311,2017,0,23.8232468780019,32.4773413897281,107.5,56.30058826773
south dakota,34,22,12,0.647,-0.21,-1.87,2639,2513,73.1,105.9,0.417,0.321,0.539,50.7,45.8,9.3,8.8,0.499,14.1,27.9,0.294,2017,1377,25.6388088376561,26.8882175226586,105.69,52.5270263603147
south florida,30,7,23,0.233,-7.27,2.4,1945,2235,69.2,93.4,0.306,0.299,0.504,48.5,51,8.8,11.3,0.477,20.2,30.6,0.201,2017,1378,18.8568683957733,8.0060422960725,86.13,26.8629106918458
southeast missouri state,33,15,18,0.455,-5.71,-4.1,2460,2464,70.1,105.6,0.35,0.377,0.556,46.8,53.3,10.6,5.9,0.518,15.6,25.3,0.26,2017,1369,20.3554274735831,26.4350453172206,99.89,46.7904727908036
southeastern louisiana,32,16,16,0.5,-7.54,-8.3,2268,2182,69.6,101.9,0.381,0.335,0.542,52.8,57.2,9.8,9.2,0.51,19.7,35.1,0.26,2017,1368,18.597502401537,20.8459214501511,94.36,39.443423851688
southern california *,36,26,10,0.722,11.49,6.41,2816,2633,70.1,111.1,0.368,0.366,0.56,50.3,56.4,9.9,13.3,0.522,13.6,30.8,0.273,2017,0,36.8780019212296,34.7432024169184,122.59,71.621204338148
siu edwardsville,30,6,24,0.2,-12.06,-3.1,2044,2282,70.9,95.3,0.463,0.288,0.497,50.5,44.4,6.6,7.4,0.45,17.6,31.3,0.313,2017,1188,14.2555235350624,10.8761329305136,83.24,25.131656465576
southern illinois,33,17,16,0.515,1.21,2.77,2260,2289,66.4,101.6,0.361,0.297,0.517,48.9,46.4,10.1,11.2,0.48,15.4,29.8,0.251,2017,1356,27.0028818443804,20.392749244713,102.81,47.3956310890934
southern methodist *,35,30,5,0.857,18.69,4.44,2599,2100,63.7,116.6,0.36,0.365,0.574,56.3,61.9,9,11.1,0.547,14.3,37.1,0.251,2017,0,43.7944284341979,43.0513595166163,135.29,86.8457879508142
southern mississippi,31,9,22,0.29,-13.34,-2.72,1952,2239,67.6,91.7,0.304,0.379,0.493,48.2,54.5,6.8,6.4,0.457,17,23,0.215,2017,1379,13.0259365994236,5.43806646525679,78.36,18.4640030646804
southern utah,33,6,27,0.182,-15.44,-5.25,2559,2814,74.1,103.5,0.43,0.407,0.53,49.7,46.7,7.5,9.2,0.479,15.8,29.7,0.318,2017,1381,11.0086455331412,23.2628398791541,88.06,34.2714854122953
southern,33,15,18,0.455,-14.4,-11.6,2360,2401,69.9,101.9,0.417,0.27,0.522,50.8,46.5,7.9,9.1,0.48,16.7,34,0.29,2017,1380,12.0076849183477,20.8459214501511,87.5,32.8536063684988
st. bonaventure,32,20,12,0.625,6.11,1.65,2459,2316,70.6,108.1,0.424,0.31,0.549,51.2,51.3,10.1,12.4,0.497,15.2,33,0.326,2017,1382,31.7098943323727,30.2114803625378,114.21,61.9213746949105
st. francis (ny),31,4,27,0.129,-19.21,-6.51,1921,2284,68.7,89.4,0.329,0.423,0.444,45.5,44.2,9.7,7.3,0.406,14.9,29,0.214,2017,1383,7.38712776176753,1.96374622356495,70.19,9.35087398533248
st. john's (ny),33,14,19,0.424,6.6,8.54,2534,2598,73.9,103.9,0.361,0.382,0.541,46.9,51.5,9.2,15.2,0.503,15.6,27.3,0.262,2017,1385,32.180595581172,23.8670694864048,110.5,56.0476650675768
stanford,31,14,17,0.452,6.42,8.62,2162,2204,69.4,100,0.386,0.28,0.521,50.9,54.5,9.8,7.8,0.485,16.1,29.5,0.263,2017,1390,32.0076849183477,17.97583081571,106.42,49.9835157340577
stephen f. austin,33,18,15,0.545,-7.33,-6.07,2289,2271,69.4,99.2,0.419,0.345,0.544,53.1,52.2,9.7,8.9,0.501,21.6,34.4,0.302,2017,1372,18.7992315081652,16.7673716012085,91.87,35.5666031093737
stetson,32,11,21,0.344,-14.12,-5.36,2471,2654,75,102.6,0.331,0.383,0.532,44.9,49.2,6.4,5.2,0.506,13.5,21.8,0.218,2017,1391,12.2766570605187,21.9033232628399,88.48,34.1799803233586
stony brook,32,18,14,0.563,-4.59,-4.93,2215,2204,67,103.2,0.329,0.407,0.51,48.9,51.5,8.1,9.4,0.471,13,29.1,0.237,2017,1392,21.4313160422671,22.809667673716,98.61,44.2409837159831
syracuse,34,19,15,0.559,13.76,8.52,2594,2416,67.9,111.6,0.351,0.406,0.57,49.3,59.5,11.8,13.8,0.535,15.6,31.6,0.259,2017,1393,39.0585975024015,35.4984894259819,125.36,74.5570869283834
temple,32,16,16,0.5,4.91,5.16,2269,2277,67.9,103.2,0.264,0.421,0.526,47.5,57.4,9.5,10.5,0.497,14.5,27.5,0.191,2017,1396,30.5571565802113,22.809667673716,108.11,53.3668242539274
tennessee-martin,34,22,12,0.647,-3.88,-4.03,2637,2557,70.2,109.3,0.334,0.391,0.566,53.4,57.7,9.4,10.5,0.541,18.2,37.4,0.231,2017,1404,22.1133525456292,32.02416918429,105.42,54.1375217299192
tennessee state,30,17,13,0.567,-1.41,-2.8,2134,2032,68.7,101.8,0.41,0.299,0.532,53.3,45.6,9.6,11.9,0.493,18.3,34.5,0.283,2017,1398,24.4860710854947,20.6948640483384,100.39,45.1809351338331
tennessee tech,32,12,20,0.375,-7.4,-3.97,2317,2340,70.1,101.6,0.384,0.399,0.527,49.6,55.4,9.3,10.5,0.487,16.5,29.9,0.272,2017,1399,18.7319884726225,20.392749244713,94.2,39.1247377173355
tennessee,32,16,16,0.5,11.24,10.14,2383,2335,71.5,103.7,0.424,0.304,0.521,50.5,54.9,7.6,12,0.472,14.9,31.9,0.309,2017,1397,36.6378482228626,23.5649546827795,114.94,60.2028029056421
texas a&m-corpus christi,32,21,11,0.656,-4.91,-6.67,2415,2316,70.5,105.8,0.394,0.285,0.557,49.1,49.8,12.6,11.9,0.518,16.8,30.3,0.286,2017,1394,21.1239193083574,26.7371601208459,100.89,47.8610794292033
texas a&m,31,16,15,0.516,10.3,7.91,2176,2102,66.8,105.1,0.333,0.327,0.536,53.7,60.8,9,15.4,0.512,17.7,37.5,0.216,2017,1401,35.7348703170029,25.6797583081571,115.4,61.41462862516
texas-arlington,34,26,8,0.765,5.7,-1.14,2657,2367,71.2,109.8,0.346,0.421,0.558,52.2,56.5,10.2,6.8,0.533,15.8,33,0.234,2017,1426,31.3160422670509,32.7794561933535,115.5,64.0954984604044
texas christian,36,21,15,0.583,14.45,11.22,2672,2541,68.4,107.7,0.331,0.35,0.552,52.1,62,9.6,12,0.526,16.3,33.6,0.226,2017,1395,39.7214217098943,29.607250755287,122.15,69.3286724651814
texas-el paso,32,15,17,0.469,-3.07,-2.46,2217,2202,68.1,100.1,0.36,0.299,0.547,50.3,57,7.8,9.4,0.521,17.4,22.5,0.239,2017,1431,22.8914505283381,18.1268882175227,97.03,41.0183387458608
texas-rio grande valley,32,10,22,0.313,-11.6,-3.84,2505,2665,76.6,100.3,0.334,0.4,0.527,48.1,55.7,9.8,6.7,0.491,17.6,29.7,0.24,2017,1410,14.6974063400576,18.429003021148,88.7,33.1264093612057
texas-san antonio,33,14,19,0.424,-7.47,-3.08,2178,2291,69.3,95.2,0.359,0.31,0.475,52.6,46.4,8,5.4,0.436,15.4,32.4,0.239,2017,1427,18.6647454370797,10.7250755287009,87.73,29.3898209657806
texas southern *,35,23,12,0.657,-6.37,-7.77,2593,2544,69.7,105.5,0.443,0.344,0.532,48.4,47.2,10.2,7.4,0.481,14.4,31.7,0.326,2017,0,19.7214217098943,26.2839879154079,99.13,46.0054096253022
texas state,34,21,13,0.618,-2.47,-4.53,2299,2152,64.6,103.5,0.361,0.337,0.535,50.2,60.5,9.9,12.8,0.509,15.6,28.9,0.237,2017,1402,23.4678194044188,23.2628398791541,101.03,46.7306592835729
texas tech,32,18,14,0.563,14.02,7.77,2346,2146,65.9,109.5,0.356,0.325,0.565,52.3,51.1,7.9,10.1,0.53,14.6,30,0.261,2017,1403,39.3083573487032,32.3262839879154,123.52,71.6346413366186
texas,33,11,22,0.333,10.9,12.66,2215,2273,68.5,97.9,0.345,0.335,0.515,48.9,46.4,8.4,11.8,0.488,17.1,28.4,0.224,2017,1400,36.3112391930836,14.8036253776435,108.8,51.1148645707271
toledo,34,17,17,0.5,1.33,-0.73,2675,2567,69.2,109.7,0.384,0.368,0.575,52.8,58.4,5.5,6.2,0.547,16.1,29.1,0.267,2017,1405,27.1181556195966,32.6283987915408,111.03,59.7465544111373
towson,33,20,13,0.606,1.94,-1.18,2447,2285,68.8,106.6,0.457,0.263,0.529,55.6,40.9,9.8,11.1,0.488,15.6,37.3,0.312,2017,1406,27.7041306436119,27.9456193353474,108.54,55.6497499789594
troy *,37,22,15,0.595,-0.5,-3.39,2889,2667,70.2,110.8,0.393,0.403,0.565,51.8,49.3,8.5,9.8,0.528,15.3,31.2,0.285,2017,0,25.3602305475504,34.2900302114804,110.3,59.6502607590308
tulane,31,6,25,0.194,-3.99,4.23,2179,2434,71.1,97.7,0.343,0.368,0.505,47.3,53,8.6,10.2,0.464,16.3,29.3,0.246,2017,1408,22.0076849183477,14.5015105740181,93.71,36.5091954923659
tulsa,32,15,17,0.469,2.45,5.3,2158,2249,67.8,99.1,0.428,0.408,0.536,51.1,51.6,6.7,7.3,0.489,19.1,29.4,0.312,2017,1409,28.1940441882805,16.6163141993958,101.55,44.8103583876763
ucla *,35,31,4,0.886,20.91,5.91,3158,2633,74.4,121.2,0.269,0.375,0.618,52.5,63.9,8,12.6,0.598,13.2,28.8,0.199,2017,0,45.9269932756964,50,142.11,95.9269932756965
utah state,32,15,17,0.469,2.99,2.56,2337,2248,68.9,105.6,0.351,0.363,0.563,51.2,59.4,7.2,7.9,0.534,16.4,25.9,0.245,2017,1429,28.7127761767531,26.4350453172206,108.59,55.1478214939737
utah valley,32,16,16,0.5,-1.47,-2.78,2462,2326,75.5,99.9,0.381,0.463,0.546,51,60.6,8.2,8.8,0.511,17.9,23.6,0.269,2017,1430,24.4284341978867,17.8247734138973,98.43,42.2532076117839
utah,32,20,12,0.625,12.46,4.33,2511,2180,70.1,111,0.335,0.328,0.584,54.9,50.9,8.6,9,0.562,16.7,30.9,0.228,2017,1428,37.8097982708934,34.5921450151057,123.46,72.4019432859991
valparaiso,33,24,9,0.727,3.98,-1.55,2465,2274,70,106,0.372,0.35,0.548,52.9,49.8,9.1,8,0.5,15.9,30.8,0.289,2017,1434,29.6637848222863,27.0392749244713,109.98,56.7030597467576
vanderbilt *,35,19,16,0.543,13.74,10.77,2489,2385,67.1,105.6,0.348,0.486,0.563,50,55.2,6.2,9.8,0.521,16.3,24.7,0.271,2017,0,39.0393852065322,26.4350453172206,119.34,65.4744305237527
vermont *,35,29,6,0.829,6.77,-3.17,2571,2174,65.4,112.3,0.341,0.325,0.58,52.8,50.5,8.7,11.4,0.554,15,30.1,0.239,2017,0,32.3439000960615,36.5558912386707,119.07,68.8997913347322
villanova *,36,32,4,0.889,23.96,9.44,2779,2256,65.7,117.5,0.35,0.433,0.612,53,52.3,11,9,0.575,15,29.7,0.276,2017,0,48.8568683957733,44.4108761329305,141.46,93.2677445287038
virginia commonwealth *,35,26,9,0.743,11.77,3.97,2616,2343,69,106.7,0.364,0.294,0.544,51.8,55.6,10.7,10.6,0.51,15.3,31.1,0.257,2017,0,37.1469740634006,28.0966767371601,118.47,65.2436508005607
vmi,30,6,24,0.2,-13.65,-1.54,2057,2346,70.3,97.5,0.281,0.442,0.51,46.9,48.6,8.9,10.4,0.481,16.4,27,0.194,2017,1440,12.7281460134486,14.1993957703927,83.85,26.9275417838414
virginia tech *,33,22,11,0.667,12.87,8.47,2610,2465,69.8,112.5,0.409,0.397,0.603,48.2,56,5.6,7,0.569,15.5,23.2,0.301,2017,0,38.2036503362152,36.8580060422961,125.37,75.0616563785113
virginia *,34,23,11,0.676,20.72,11.01,2246,1916,60.4,107.9,0.26,0.33,0.548,52.3,56.4,9.1,13.9,0.524,13.7,27.9,0.184,2017,0,45.7444764649376,29.9093655589124,128.62,75.65384202385
wagner,30,16,14,0.533,-7.06,-7.82,2047,1973,65.1,103.5,0.349,0.325,0.516,55,44.8,7.4,10.3,0.481,17.6,40,0.241,2017,1447,19.0585975024015,23.2628398791541,96.44,42.3214373815556
wake forest *,33,19,14,0.576,14.29,9.89,2733,2588,71.7,115.5,0.407,0.357,0.586,51.9,55.5,7.7,10.1,0.541,14.3,30.7,0.317,2017,0,39.5677233429395,41.3897280966767,129.79,80.9574514396162
washington state,31,13,18,0.419,0.16,6.9,2179,2376,69.4,100.9,0.28,0.33,0.553,46.9,56.6,6,7,0.521,16.5,19.9,0.212,2017,1450,25.9942363112392,19.3353474320242,101.06,45.3295837432634
washington,31,9,22,0.29,2.1,6.78,2368,2513,72.8,104.5,0.309,0.328,0.53,51.6,46.7,8.3,12.8,0.506,16,35,0.202,2017,1449,27.8578290105668,24.773413897281,106.6,52.6312429078477
weber state,33,20,13,0.606,-1.9,-5.09,2641,2423,69.4,113.6,0.428,0.398,0.604,47.9,49,7.5,7.7,0.567,14.6,22.3,0.318,2017,1451,24.0153698366955,38.5196374622357,111.7,62.5350072989312
west virginia *,36,28,8,0.778,24.46,9.18,2956,2406,71.6,112.8,0.386,0.324,0.549,52,57.5,14,14,0.518,14.1,37.3,0.264,2017,0,49.3371757925072,37.3111782477342,137.26,86.6483540402414
western carolina,32,9,23,0.281,-15.05,-0.45,1965,2347,69.5,88.4,0.286,0.321,0.469,50.5,50.5,8.9,7.3,0.44,19.8,32.4,0.187,2017,1441,11.3832853025937,0.453172205438062,73.35,11.8364575080317
western illinois,28,8,20,0.286,-10.73,-2.12,2012,2151,71,99,0.291,0.4,0.541,47.9,52.7,6.4,10.8,0.513,16.6,19.2,0.206,2017,1442,15.5331412103746,16.4652567975831,88.27,31.9983980079577
western kentucky,32,15,17,0.469,-5.71,-2.81,2209,2302,67.5,102.3,0.372,0.343,0.531,50.3,51.1,6.6,9,0.5,15.8,27.2,0.25,2017,1443,20.3554274735831,21.4501510574018,96.59,41.8055785309849
western michigan,32,16,16,0.5,-0.61,-0.38,2417,2408,70.7,106.3,0.358,0.294,0.539,52,48,8.1,8,0.505,15.1,31.6,0.252,2017,1444,25.254562920269,27.4924471299094,105.69,52.7470100501784
wichita state *,36,31,5,0.861,21.35,3.06,2916,2246,69.5,116.5,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,33.9,0.294,2017,0,46.3496637848223,42.9003021148036,137.85,89.2499658996259
william & mary,31,17,14,0.548,-0.06,-0.65,2534,2411,71.8,112.9,0.381,0.409,0.593,51,61.2,7.4,13.5,0.569,15.4,26.3,0.264,2017,1456,25.7829010566763,37.4622356495468,112.84,63.2451367062231
winthrop *,33,26,7,0.788,1.35,-6.11,2615,2322,71.6,108.3,0.37,0.429,0.568,50.3,47.5,8.9,13.1,0.535,15.7,27,0.266,2017,0,27.1373679154659,30.5135951661632,109.65,57.6509630816291
wisconsin *,36,27,9,0.75,19.47,9.16,2595,2224,64.5,110.7,0.324,0.371,0.541,54.7,52,10.3,10,0.52,14.1,35.5,0.208,2017,0,44.5437079731028,34.1389728096677,130.17,78.6826807827705
wofford,33,16,17,0.485,-0.48,-0.84,2593,2479,68.2,112.6,0.321,0.4,0.584,50.3,61.3,8,5.7,0.548,15.5,29,0.25,2017,1459,25.3794428434198,37.0090634441088,112.12,62.3885062875286
wright state,32,20,12,0.625,-0.96,-2.36,2465,2317,71.6,106.8,0.393,0.412,0.571,51.8,57.8,7.8,6.8,0.527,18,29.8,0.3,2017,1460,24.9183477425552,28.2477341389728,105.84,53.1660818815281
wyoming,33,19,14,0.576,2.21,1.34,2570,2497,74.2,103,0.382,0.464,0.552,49.3,57.7,7,11.3,0.513,15.9,22.6,0.278,2017,1461,27.9634966378482,22.5075528700906,105.21,50.4710495079389
xavier *,36,23,13,0.639,15.17,11.09,2704,2557,68.4,109.4,0.415,0.365,0.556,54.8,57.9,8.9,7.8,0.522,15.9,34.6,0.287,2017,0,40.4130643611912,32.1752265861027,124.57,72.5882909472939
yale,29,18,11,0.621,0.28,-2.12,2151,2028,68.3,108.2,0.336,0.354,0.564,52.4,58.8,8.1,11.5,0.531,16.5,31.2,0.246,2017,1463,26.1095100864553,30.3625377643505,108.48,56.4720478508058
youngstown state,34,13,21,0.382,-9.67,-2.48,2616,2801,73.7,102.1,0.27,0.336,0.52,47.4,52.3,7.3,7.5,0.496,13.9,26.5,0.181,2017,1464,16.5513928914505,21.1480362537764,92.43,37.699429145227
abilene christian,32,16,16,0.5,-9,-6.68,2359,2279,71.5,102.3,0.309,0.35,0.549,49.7,55.3,11.3,11.6,0.521,17.7,27.8,0.217,2018,1101,15.4268049461508,21.978021978022,93.3,37.4048269241728
air force,31,12,19,0.387,-4.03,2,2124,2244,67.7,100.8,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233,2018,1102,20.382927802154,19.9175824175824,96.77,40.3005102197364
akron,32,14,18,0.438,-6.68,-1.78,2296,2411,69.1,102.6,0.319,0.465,0.547,49.1,52.6,8.4,7.5,0.519,17.3,27.1,0.222,2018,1103,17.7403270841643,22.3901098901099,95.92,40.1304369742742
alabama a&m,31,3,28,0.097,-23.86,-7.93,1873,2367,68.3,88.1,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.4,0.203,2018,1105,0.608296769046669,2.47252747252747,64.24,3.08082424157414
alabama-birmingham,33,20,13,0.606,4.79,-0.75,2536,2303,69.5,109.8,0.291,0.334,0.575,54.9,59.2,7.7,11.5,0.545,16.5,31.3,0.218,2018,1412,29.1783007578779,32.2802197802198,114.59,61.4585205380977
alabama state,31,8,23,0.258,-18.44,-8.5,2129,2437,70.5,97,0.352,0.347,0.496,47.9,41.8,7.7,11.2,0.465,16.9,31.9,0.227,2018,1106,6.01316314319904,14.6978021978022,78.56,20.7109653410012
alabama,34,19,15,0.559,12.96,10.58,2460,2379,70.3,102.9,0.414,0.356,0.548,50.2,49.5,9.1,14.9,0.516,17.6,29.2,0.279,2018,1104,37.3254886318309,22.8021978021978,115.86,60.1276864340287
albany (ny),32,22,10,0.688,-0.07,-5.49,2375,2182,67.3,110.3,0.37,0.273,0.55,55.3,48.3,7,7.9,0.507,14.7,34.9,0.279,2018,1107,24.3318707618668,32.967032967033,110.23,57.2989037288998
alcorn state,32,11,21,0.344,-17.88,-8.41,2244,2388,70.5,99.1,0.327,0.388,0.532,48.4,53,8.8,7.7,0.499,17.9,27.1,0.232,2018,1108,6.57159952134025,17.5824175824176,81.22,24.1540171037578
american,30,6,24,0.2,-14.53,-6.06,1961,2215,67.4,96.6,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.4,0.202,2018,1110,9.91224571200638,14.1483516483516,82.07,24.060597360358
appalachian state,33,15,18,0.455,-4.55,-2.39,2520,2448,71.9,104.6,0.377,0.434,0.539,52.3,47.2,8.2,8.8,0.509,16.3,30.8,0.252,2018,1111,19.8643797367371,25.1373626373626,100.05,45.0017423740998
arizona state,31,20,11,0.645,14.95,6.76,2589,2335,72.6,114.1,0.419,0.407,0.578,49.1,50.6,9,9.9,0.539,12.9,28.1,0.31,2018,1113,39.3099321898684,38.1868131868132,129.05,77.4967453766816
arizona,34,27,7,0.794,16.82,7.11,2750,2420,68.7,116,0.376,0.322,0.601,55.8,52.9,7.1,12.1,0.566,15.4,33.2,0.286,2018,1112,41.1747108097327,40.7967032967033,132.82,81.9714141064361
arkansas-little rock,32,7,25,0.219,-10.14,-1.91,2038,2242,66.5,94.3,0.315,0.355,0.505,49.1,52.1,7.4,9.5,0.484,18.5,28.9,0.193,2018,1114,14.2899880335062,10.989010989011,84.16,25.2789990225172
arkansas-pine bluff,35,14,21,0.4,-14.67,-9.19,2307,2499,68.4,95.7,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,23.9,0.247,2018,1115,9.77263661747108,12.9120879120879,81.03,22.684724529559
arkansas state,32,11,21,0.344,-9.37,-2.73,2369,2523,70.5,104.2,0.327,0.364,0.537,48.6,40.5,9.5,7.8,0.503,16,30.3,0.235,2018,1117,15.0578380534503,24.5879120879121,94.83,39.6457501413624
arkansas,34,23,11,0.676,15.69,10.13,2757,2568,71.3,112.4,0.373,0.321,0.568,49.3,49.9,8.6,13.6,0.542,13.3,29.3,0.253,2018,1116,40.0478659752692,35.8516483516484,128.09,75.8995143269176
army,30,13,17,0.433,-8.63,-7.18,2230,2223,71.7,103.2,0.243,0.418,0.542,49.6,61,7.9,8.2,0.524,16.4,27,0.16,2018,1119,15.7957718388512,23.2142857142857,94.57,39.0100575531369
auburn,32,25,7,0.781,17.58,7.52,2668,2346,73.5,113.4,0.399,0.431,0.567,52.2,53.2,10.1,15.5,0.518,14.3,32.9,0.314,2018,1120,41.9325887514958,37.2252747252747,130.98,79.1578634767705
austin peay,32,18,14,0.563,-3.31,-2.08,2351,2297,70.1,104.1,0.37,0.295,0.533,51.9,49.4,9.3,8.8,0.506,17.2,35.8,0.242,2018,1122,21.1009174311927,24.4505494505495,100.79,45.5514668817421
ball state,32,19,13,0.594,-1.06,-1.84,2410,2362,71.1,104.6,0.339,0.384,0.548,51.1,52.9,7.4,8.9,0.516,16.1,27.8,0.239,2018,1123,23.3446350219386,25.1373626373626,103.54,48.4819976593012
baylor,33,19,14,0.576,15.12,9.49,2494,2291,68.6,108.9,0.32,0.306,0.556,54,54.3,8,12,0.523,16.7,35.3,0.235,2018,1124,39.479457518947,31.043956043956,124.02,70.523413562903
belmont,33,24,9,0.727,5.75,-2.68,2562,2284,68.5,113.3,0.279,0.542,0.61,51.5,58.7,7.1,6.5,0.588,16.3,25.2,0.206,2018,1125,30.1356202632629,37.0879120879121,119.05,67.223532351175
bethune-cookman,32,18,14,0.563,-12.09,-12.35,2621,2543,77.7,104.6,0.402,0.372,0.54,52.1,55.5,8.1,8.9,0.502,17.3,33.5,0.282,2018,1126,12.3454327881931,25.1373626373626,92.51,37.4827954255557
binghamton,31,11,20,0.355,-10.42,-6.49,2147,2181,67.9,101.6,0.297,0.378,0.53,49.6,47.8,8,11.6,0.51,15.8,26,0.19,2018,1127,14.0107698444356,21.0164835164835,91.18,35.0272533609191
boise state,31,23,8,0.742,11.69,3.16,2428,2133,70.5,109.4,0.308,0.424,0.576,55.9,48.5,7.8,6,0.547,16.5,29,0.228,2018,1129,36.0590347028321,31.7307692307692,121.09,67.7898039336013
boston college,35,19,16,0.543,9.13,7.33,2673,2610,70.2,107.7,0.307,0.395,0.554,51.4,51.9,7.1,8.8,0.521,15.5,29.4,0.228,2018,1130,33.5061826884723,29.3956043956044,116.83,62.9017870840767
boston university,31,15,16,0.484,-8.33,-5.83,2186,2226,68.8,102.5,0.323,0.355,0.548,50.1,52.5,10.7,9.8,0.529,17.6,28.6,0.206,2018,1131,16.094934184284,22.2527472527472,94.17,38.3476814370313
bowling green state,32,16,16,0.5,-6.24,-2.74,2429,2490,71.9,103.6,0.372,0.352,0.526,51.2,51.4,8.1,6.7,0.483,15,30,0.272,2018,1132,18.1790985241324,23.7637362637363,97.36,41.9428347878687
bradley,33,20,13,0.606,2.08,0.36,2223,2136,66.3,101.7,0.372,0.343,0.528,51.8,58.2,9.8,12.6,0.49,17.3,31.8,0.263,2018,1133,26.4758675708018,21.1538461538462,103.78,47.6297137246479
brigham young,34,24,10,0.706,8.7,1.9,2517,2286,67.5,108.5,0.383,0.34,0.582,51.3,58.8,9.4,11,0.544,15.4,22.4,0.289,2018,1140,33.0773833266853,30.4945054945055,117.2,63.5718888211908
brown,27,11,16,0.407,-7.68,-4.57,2080,2133,72.8,103.9,0.409,0.361,0.534,50.7,48.6,8.7,8.1,0.483,15.7,30.3,0.309,2018,1135,16.743119266055,24.1758241758242,96.22,40.9189434418792
bryant,31,3,28,0.097,-18.46,-5.14,2169,2582,70.9,98.2,0.278,0.401,0.51,44.7,54.1,8.6,3.9,0.479,15.9,26.1,0.196,2018,1136,5.99321898683686,16.3461538461538,79.74,22.3393728329907
bucknell,34,25,9,0.735,4.18,-4.12,2759,2477,72.6,110.2,0.424,0.393,0.576,51.1,52.2,7.6,10.6,0.54,15.2,27.1,0.304,2018,1137,28.5700039888313,32.8296703296703,114.38,61.3996743185016
buffalo,34,26,8,0.765,7.64,-0.54,2883,2579,74.1,113.2,0.302,0.402,0.572,51.7,55.1,8.5,10.5,0.549,14.5,31.8,0.21,2018,1138,32.0203430394894,36.9505494505495,120.84,68.9708924900389
butler,33,20,13,0.606,16.42,10.08,2611,2402,69.9,110.7,0.263,0.372,0.569,51,47.9,9.4,8.4,0.538,13.8,27.1,0.202,2018,1139,40.775827682489,33.5164835164835,127.12,74.2923111989725
cal poly,31,9,22,0.29,-11.2,-1.48,2082,2302,66.6,98.4,0.263,0.411,0.509,47.5,51.6,7.3,10.2,0.47,15.2,25.8,0.205,2018,1142,13.2329477463103,16.6208791208791,87.2,29.8538268671895
cal state bakersfield,30,12,18,0.4,-6.09,-0.24,1981,2068,67.5,97.9,0.347,0.367,0.509,51.4,55.5,9,9.6,0.473,17.6,32.2,0.241,2018,1167,18.3286796968488,15.9340659340659,91.81,34.2627456309148
cal state fullerton,31,20,11,0.645,-0.44,-1.44,2270,2171,69.9,103.9,0.436,0.288,0.563,51.4,50.4,9.1,8.5,0.519,17.8,27.6,0.32,2018,1168,23.9629038691663,24.1758241758242,103.46,48.1387280449905
cal state northridge,30,6,24,0.2,-13.18,-3.21,1983,2206,66.4,98.3,0.28,0.305,0.518,46,49.8,7.4,6.3,0.488,16,24,0.198,2018,1169,11.2584762664539,16.4835164835165,85.12,27.7419927499704
uc-davis,32,22,10,0.688,1.26,-1.94,2329,2172,67.6,104.5,0.4,0.32,0.563,48.5,48.4,10.2,6.8,0.527,16.7,24.9,0.286,2018,1413,25.6581571599521,25,105.76,50.6581571599521
uc-irvine,35,18,17,0.514,0.17,0.05,2440,2350,68.5,101,0.288,0.319,0.521,55,47.8,7.4,10.7,0.49,17.2,33.1,0.204,2018,1414,24.571200638213,20.1923076923077,101.17,44.7635083305207
uc-riverside,31,9,22,0.29,-8.1,-1.14,2024,2163,69.8,93.2,0.325,0.335,0.492,47.7,54.1,8.8,8.9,0.454,17.2,27.1,0.229,2018,1415,16.3242919824491,9.47802197802197,85.1,25.8023139604711
uc-santa barbara,32,23,9,0.719,2.5,-2.97,2425,2211,68.1,110.9,0.314,0.356,0.558,52.1,54.8,7,9.8,0.532,13.4,29.3,0.219,2018,1364,26.8946948544077,33.7912087912088,113.4,60.6859036456165
university of california,32,8,24,0.25,-2.95,6.5,2166,2483,70.6,95.6,0.38,0.275,0.486,50.5,40.8,9.7,14,0.446,17.4,34.8,0.256,2018,1143,21.459912245712,12.7747252747253,92.65,34.2346375204373
campbell,31,16,15,0.516,-6.07,-6.85,2351,2191,68.8,109.4,0.348,0.43,0.591,48.8,54.7,9.5,10.9,0.559,15.9,22.2,0.259,2018,1144,18.348623853211,31.7307692307692,103.33,50.0793930839802
